thr,precision,recall,coverage,F1,alerts,Fbeta
0.0,0.12648966619163535,0.9984309158473055,0.9983299227176985,0.22453352757050485,10654736,0.15325807568534544
0.00033046926635822867,0.12649855502349566,0.997862696987477,0.9976916503631743,0.22453315436653318,10647924,0.15326583545296832
0.0010111223458038423,0.12650329110516714,0.9971329765481927,0.9969247303364891,0.22452212843979155,10639739,0.1532679517366774
0.0011884045131528155,0.12726580171179583,0.9178127352144563,0.9121231457119942,0.22353568548428931,9734689,0.1537523479353508
0.0012619942932190265,0.12720420656588524,0.8924747672302924,0.8873717271207657,0.2226711495735817,9470528,0.15353445141540784
0.001264450867052023,0.1271908817636867,0.8870726134807887,0.8820928624434999,0.2224817287145761,9414189,0.15348676485110668
0.0013936068286734605,0.12718886529014875,0.8858309774846055,0.8808721618805609,0.22243954581683759,9401161,0.1534769714268522
0.0014171064998915479,0.12714502104557046,0.8781729874532535,0.8735581716101853,0.2221293601178458,9323102,0.15337956598789304
0.0016121718978286059,0.1271285596345898,0.8738435597911444,0.8693640513616228,0.2219651695512643,9278340,0.15333386787035252
0.0018095453517303775,0.127128473368593,0.8729049244646742,0.8684308169736221,0.22193472874717515,9268380,0.15332798137965684
0.0018693252625956917,0.12712624676565085,0.8703875741573767,0.8659415360513316,0.22184976932289555,9241813,0.1533098134503137
0.001922032953328344,0.12708390049892387,0.8628399682330838,0.8587185267639629,0.22153838720927568,9164725,0.1532133458174822
0.001949752102946911,0.12707827401323232,0.8608908367856148,0.8568166400563688,0.22146546983450666,9144427,0.1531944861174756
0.002210989567222519,0.12689594337273855,0.8295610120370535,0.8268213999265406,0.2201205744017697,8824301,0.15277743062222007
0.0023124357656731757,0.12689009270919493,0.8282919652223388,0.8255946089785393,0.22006704038169325,8811208,0.15276202563302674
0.002574652606681778,0.12680135236181642,0.8191034143508229,0.817007353437226,0.2196065065298878,8719560,0.15259603105569625
0.002728494532880386,0.12668414539005102,0.8026309940792632,0.8013177719310082,0.21882915112426407,8552112,0.15234384227808542
0.0027903806420005537,0.1266400809408396,0.7973733027517499,0.7963456752644165,0.21856700645829844,8499047,0.15225476588311782
0.002971334723557822,0.12656292234805774,0.7870653533180425,0.7865302233016258,0.2180608762840945,8394291,0.15208951837713156
0.0029908683063412773,0.12653039006500386,0.7835300985604134,0.7831986889743416,0.2178764384074395,8358735,0.15202543227823948
0.0030327214684756584,0.12652728747231237,0.782847050595926,0.7825351180972513,0.21784541232605112,8351653,0.15201670228404263
0.0031335842913826433,0.12640516295516135,0.7664346377919623,0.7668694296401238,0.21701831661962942,8184460,0.15174958266437202
0.0031392405063291142,0.12640081456557176,0.7653530217093683,0.7658135442667926,0.2169684983434357,8173191,0.15173607794188199
0.0033793397837222536,0.1263179221380091,0.7588862910347361,0.7598412189765155,0.2165849145225912,8109451,0.15158932693604252
0.003738630656771385,0.12629700786206227,0.7568564087975392,0.7579342725644082,0.21647133557814968,8089099,0.15154899563368526
0.0038981538672706074,0.12619707051436171,0.7485375957896983,0.7501972347777853,0.21598149792702437,8006525,0.1513665595915044
0.004083418404550095,0.12618258748153155,0.747727124560686,0.7494709797836695,0.2159265242325968,7998774,0.15134325676156807
0.004190495599342767,0.12608659043919254,0.7388504643540826,0.7411374590538727,0.21541252135876177,7909834,0.1511593138693283
0.0042553079506100055,0.1258687668476673,0.6975868108031221,0.7009570337388593,0.2132583566814384,7481006,0.15054507509403384
0.004291044776119403,0.1258592069789472,0.696572610517457,0.6999910986679859,0.2131971903272468,7470697,0.150524675803695
0.004493313160651125,0.12579021484958927,0.6754551677542094,0.6791423051264176,0.21208396957485204,7248186,0.15024282707666917
0.004599175446633074,0.12578475985235382,0.6697159350200618,0.6734009459773476,0.21179128716990928,7186912,0.15017935056356876
0.00467646371108278,0.12567553567414183,0.6452543723959723,0.6493686613146237,0.2103762950381498,6930426,0.1498003063890398
0.004714962614859133,0.12566743615948175,0.6317534330198128,0.6358226142556238,0.20963466269044032,6785855,0.14964262415536142
0.005046698900056733,0.12567800546222213,0.6194341221722407,0.6233715247325853,0.20895981182590798,6652970,0.14951373506743795
