lead_h,thr_f1,F1,P_f1,R_f1,Cov_f1,Alerts_f1,thr_Fbeta,Fbeta,P_Fbeta,R_Fbeta,Cov_Fbeta,Alerts_Fbeta,status_f1,status_Fbeta
24,0.04354968241220705,0.06086982328275378,0.04686769551850572,0.08680295332831355,0.0984109716881423,1050297,0.04354968241220705,0.05161717744166289,0.04686769551850572,0.08680295332831355,0.0984109716881423,1050297,no-feasible (picked nearest),no-feasible (picked nearest)
48,0.04354968241220705,0.0667101271776381,0.05421990160878304,0.08667732115677321,0.0984109716881423,1050297,0.04354968241220705,0.05860930042229737,0.05421990160878304,0.08667732115677321,0.0984109716881423,1050297,no-feasible (picked nearest),no-feasible (picked nearest)
72,0.04354968241220705,0.07185608738983013,0.06143976418098881,0.08652534952728169,0.0984109716881423,1050297,0.04354968241220705,0.06522159676780646,0.06143976418098881,0.08652534952728169,0.0984109716881423,1050297,no-feasible (picked nearest),no-feasible (picked nearest)
120,0.04354968241220705,0.08084743241603629,0.07581379362218496,0.08659702102854558,0.0984109716881423,1050297,0.04354968241220705,0.07775011228933544,0.07581379362218496,0.08659702102854558,0.0984109716881423,1050297,no-feasible (picked nearest),no-feasible (picked nearest)
240,0.04354968241220705,0.09710894706076215,0.11095623428420723,0.086334447546065,0.0984109716881423,1050297,0.04354968241220705,0.1049689966888968,0.11095623428420723,0.086334447546065,0.0984109716881423,1050297,no-feasible (picked nearest),no-feasible (picked nearest)
