feature,expected_sign,r_pearson,p_pearson,r_spearman,p_spearman,boot_mean_r,boot_sd_r,z_score,p_boot
absS,+,0.10367413625114845,0.005360333644072606,0.03692908358233715,0.32240530331167816,0.1042457514230919,0.03805683211310669,-0.01502004082327688,0.5062
inv_relax,+,0.817250930967346,4.9776927550193255e-174,0.987404296690387,0.0,0.8170879574238947,0.010541684670832843,0.01545991447668857,0.501
agree,+,0.3363628416860833,1.668354576155031e-20,0.4175311972015783,9.623370386129947e-32,0.3362635102036422,0.022127972125729926,0.004488955511907139,0.501
dir_var,~,0.16225894221917622,1.2125140963045986e-05,0.38718332789993803,3.632331626706646e-27,0.16274265453423822,0.03092401064540153,-0.015641965740104628,0.5004
shear_var,-,-0.38211546211215003,1.9020252441202414e-26,-0.5488426225102029,7.06778033013794e-58,-0.38311344893464555,0.023032468340514985,0.04332956449743711,0.5156
