issue_hour,coverage,f1,n
2025-02-05 00:00:00,0.05484719692369966,0.0,4941
2025-02-05 01:00:00,0.06375227686703097,0.0,4941
2025-02-05 02:00:00,0.0748836267961951,0.0,4941
2025-02-05 03:00:00,0.08702691762801053,0.0,4941
2025-02-05 04:00:00,0.0880388585306618,0.0,4941
2025-02-05 05:00:00,0.08237198947581462,0.0,4941
2025-02-05 06:00:00,0.10483707751467314,0.0,4941
2025-02-05 07:00:00,0.10200364298724955,0.0,4941
2025-02-05 08:00:00,0.10422991297308237,0.0,4941
2025-02-05 09:00:00,0.08844363489172233,0.0,4941
2025-02-05 10:00:00,0.14754098360655737,0.0,4941
2025-02-05 11:00:00,0.08601497672535924,0.0,4941
2025-02-05 12:00:00,0.04007285974499089,0.0,4941
2025-02-05 13:00:00,0.03359643796802267,0.0,4941
2025-02-05 14:00:00,0.04290629427241449,0.0,4941
2025-02-05 15:00:00,0.03764420157862781,0.0,4941
2025-02-05 16:00:00,0.035620319773325235,0.0,4941
2025-02-05 17:00:00,0.042096741550293464,0.0,4941
2025-02-05 18:00:00,0.050799433313094514,0.0,4941
2025-02-05 19:00:00,0.05808540781218377,0.0,4941
2025-02-05 20:00:00,0.051811374215745803,0.0,4941
2025-02-05 21:00:00,0.0489779396883222,0.0,4941
2025-02-05 22:00:00,0.08459825946164744,0.0,4941
2025-02-05 23:00:00,0.07083586318558996,0.0,4941
2025-02-06 00:00:00,0.04776361060514066,0.0,4941
2025-02-06 01:00:00,0.048168386966201175,0.0,4941
2025-02-06 02:00:00,0.041691965189232946,0.0,4941
2025-02-06 03:00:00,0.060109289617486336,0.0,4941
2025-02-06 04:00:00,0.08176482493422384,0.0,4941
2025-02-06 05:00:00,0.07832422586520947,0.0,4941
2025-02-06 06:00:00,0.093705727585509,0.0,4941
2025-02-06 07:00:00,0.08378870673952642,0.0,4941
2025-02-06 08:00:00,0.08561020036429873,0.0,4941
2025-02-06 09:00:00,0.07468123861566485,0.0,4941
2025-02-06 10:00:00,0.09734871483505363,0.0,4941
2025-02-06 11:00:00,0.08075288403157256,0.0,4941
2025-02-06 12:00:00,0.06375227686703097,0.0,4941
2025-02-06 13:00:00,0.07002631046346894,0.0,4941
2025-02-06 14:00:00,0.05929973689536531,0.0,4941
2025-02-06 15:00:00,0.07103825136612021,0.0,4941
2025-02-06 16:00:00,0.07791944950414896,0.0,4941
2025-02-06 17:00:00,0.08581258854482898,0.0,4941
2025-02-06 18:00:00,0.10827767658368752,0.0,4941
2025-02-06 19:00:00,0.12507589556769885,0.0,4941
2025-02-06 20:00:00,0.1550293462861769,0.0,4941
2025-02-06 21:00:00,0.14490993725966403,0.0,4941
2025-02-06 22:00:00,0.1404573972879984,0.0,4941
2025-02-06 23:00:00,0.13499291641368144,0.0,4941
2025-02-07 00:00:00,0.11455171018012549,0.0,4941
2025-02-07 01:00:00,0.11151588747217163,0.0,4941
2025-02-07 02:00:00,0.1309451528030763,0.0,4941
2025-02-07 03:00:00,0.14673143088443635,0.0,4941
2025-02-07 04:00:00,0.1766848816029144,0.0,4941
2025-02-07 05:00:00,0.18579234972677597,0.0,4941
2025-02-07 06:00:00,0.19388787694798623,0.0,4941
2025-02-07 07:00:00,0.1621129326047359,0.0,4941
2025-02-07 08:00:00,0.13924306820481683,0.0,4941
2025-02-07 09:00:00,0.12284962558186602,0.0,4941
2025-02-07 10:00:00,0.13438575187209068,0.0,4941
2025-02-07 11:00:00,0.12932604735883424,0.0,4941
2025-02-07 12:00:00,0.1125278283748229,0.0,4941
2025-02-07 13:00:00,0.11617081562436754,0.0,4941
2025-02-07 14:00:00,0.12021857923497267,0.0,4941
2025-02-07 15:00:00,0.12224246104027525,0.0,4941
2025-02-07 16:00:00,0.13134992916413682,0.0,4941
2025-02-07 17:00:00,0.12183768467921473,0.0,4941
2025-02-07 18:00:00,0.13620724549686297,0.0,4941
2025-02-07 19:00:00,0.14794575996761788,0.0,4941
2025-02-07 20:00:00,0.15300546448087432,0.0,4941
2025-02-07 21:00:00,0.15421979356405585,0.0,4941
2025-02-07 22:00:00,0.18518518518518517,0.0,4941
2025-02-07 23:00:00,0.17486338797814208,0.0,4941
2025-02-08 00:00:00,0.1564460635498887,0.0,4941
2025-02-08 01:00:00,0.16413681441003847,0.0,4941
2025-02-08 02:00:00,0.19388787694798623,0.0,4941
2025-02-08 03:00:00,0.21129326047358835,0.0,4941
2025-02-08 04:00:00,0.23942521756729407,0.0,4941
2025-02-08 05:00:00,0.24286581663630843,0.0,4941
2025-02-08 06:00:00,0.2610807528840316,0.0,4941
2025-02-08 07:00:00,0.21837684679214733,0.0,4941
2025-02-08 08:00:00,0.20886460230722526,0.0,4941
2025-02-08 09:00:00,0.17122040072859745,0.0,4941
2025-02-08 10:00:00,0.1916616069621534,0.0,4941
2025-02-08 11:00:00,0.1700060716454159,0.0,4941
2025-02-08 12:00:00,0.13904068002428657,0.0,4941
2025-02-08 13:00:00,0.1436956081764825,0.0,4941
2025-02-08 14:00:00,0.13823112730216555,0.0,4941
2025-02-08 15:00:00,0.158267557174661,0.0,4941
2025-02-08 16:00:00,0.17122040072859745,0.0,4941
2025-02-08 17:00:00,0.17466099979761182,0.0,4941
2025-02-08 18:00:00,0.21048370775146732,0.0,4941
