file_base,file_denoised,file_throttled,base_rows,base_bad_time,base_H,base_W,base_T,base_expected_rows,base_grid_complete,base_grid_complete_frac,base_perh_min_HW,base_perh_max_HW,base_dup_keys,base_cov,base_active,den_rows,den_bad_time,den_H,den_W,den_T,den_expected_rows,den_grid_complete,den_grid_complete_frac,den_perh_min_HW,den_perh_max_HW,den_dup_keys,den_cov,den_active,retained_after_denoise,den_top_hours,thr_rows,thr_bad_time,thr_H,thr_W,thr_T,thr_expected_rows,thr_grid_complete,thr_grid_complete_frac,thr_perh_min_HW,thr_perh_max_HW,thr_dup_keys,thr_cov,thr_active,retained_after_throttle,thr_top_hours,flags,lead_h,threshold
alerts_gka_fma_demo_lead24_thr0.0435.csv.gz,alerts_gka_fma_demo_lead24_thr0.0435_denoised.csv.gz,alerts_gka_fma_demo_lead24_thr0.0435_throttled.csv.gz,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.0984109716881423,1050297,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.09903865614248128,1056996,1.0063781958817364,2025-02-02 07:00:00=2148; 2025-04-14 22:00:00=2100; 2025-02-02 06:00:00=2077; 2025-04-14 20:00:00=2043; 2025-02-02 08:00:00=2039,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.08921833187164092,952188,0.9008435225866512,2025-02-02 07:00:00=1934; 2025-04-14 22:00:00=1890; 2025-02-02 06:00:00=1870; 2025-04-14 20:00:00=1839; 2025-02-02 08:00:00=1836,,24,0.043549682412207
alerts_gka_fma_demo_lead48_thr0.0435.csv.gz,alerts_gka_fma_demo_lead48_thr0.0435_denoised.csv.gz,alerts_gka_fma_demo_lead48_thr0.0435_throttled.csv.gz,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.0984109716881423,1050297,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.09903865614248128,1056996,1.0063781958817364,2025-02-02 07:00:00=2148; 2025-04-14 22:00:00=2100; 2025-02-02 06:00:00=2077; 2025-04-14 20:00:00=2043; 2025-02-02 08:00:00=2039,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.08921833187164092,952188,0.9008435225866512,2025-02-02 07:00:00=1934; 2025-04-14 22:00:00=1890; 2025-02-02 06:00:00=1870; 2025-04-14 20:00:00=1839; 2025-02-02 08:00:00=1836,,48,0.043549682412207
alerts_gka_fma_demo_lead72_thr0.0435.csv.gz,alerts_gka_fma_demo_lead72_thr0.0435_denoised.csv.gz,alerts_gka_fma_demo_lead72_thr0.0435_throttled.csv.gz,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.0984109716881423,1050297,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.09903865614248128,1056996,1.0063781958817364,2025-02-02 07:00:00=2148; 2025-04-14 22:00:00=2100; 2025-02-02 06:00:00=2077; 2025-04-14 20:00:00=2043; 2025-02-02 08:00:00=2039,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.08921833187164092,952188,0.9008435225866512,2025-02-02 07:00:00=1934; 2025-04-14 22:00:00=1890; 2025-02-02 06:00:00=1870; 2025-04-14 20:00:00=1839; 2025-02-02 08:00:00=1836,,72,0.043549682412207
alerts_gka_fma_demo_lead120_thr0.0435.csv.gz,alerts_gka_fma_demo_lead120_thr0.0435_denoised.csv.gz,alerts_gka_fma_demo_lead120_thr0.0435_throttled.csv.gz,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.0984109716881423,1050297,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.09903865614248128,1056996,1.0063781958817364,2025-02-02 07:00:00=2148; 2025-04-14 22:00:00=2100; 2025-02-02 06:00:00=2077; 2025-04-14 20:00:00=2043; 2025-02-02 08:00:00=2039,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.08921833187164092,952188,0.9008435225866512,2025-02-02 07:00:00=1934; 2025-04-14 22:00:00=1890; 2025-02-02 06:00:00=1870; 2025-04-14 20:00:00=1839; 2025-02-02 08:00:00=1836,,120,0.043549682412207
alerts_gka_fma_demo_lead240_thr0.0435.csv.gz,alerts_gka_fma_demo_lead240_thr0.0435_denoised.csv.gz,alerts_gka_fma_demo_lead240_thr0.0435_throttled.csv.gz,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.0984109716881423,1050297,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.09903865614248128,1056996,1.0063781958817364,2025-02-02 07:00:00=2148; 2025-04-14 22:00:00=2100; 2025-02-02 06:00:00=2077; 2025-04-14 20:00:00=2043; 2025-02-02 08:00:00=2039,10672560,0,61,81,2160,10672560,True,1.0,4941,4941,0,0.08921833187164092,952188,0.9008435225866512,2025-02-02 07:00:00=1934; 2025-04-14 22:00:00=1890; 2025-02-02 06:00:00=1870; 2025-04-14 20:00:00=1839; 2025-02-02 08:00:00=1836,,240,0.043549682412207
