lead_h,mean_diff,ci_lo,ci_hi,n_hours
24,-0.08921833187164091,-0.09326366869804434,-0.08532671636420877,2160
48,-0.08921833187164091,-0.09326366869804434,-0.08532671636420877,2160
72,-0.08921833187164091,-0.09326366869804434,-0.08532671636420877,2160
120,-0.08921833187164091,-0.09326366869804434,-0.08532671636420877,2160
240,-0.08921833187164091,-0.09326366869804434,-0.08532671636420877,2160
