lead_h,peak_freq,peak_amp,n_hours
24,0.04166666666666667,2.3119073820401517,2160
48,0.04166666666666667,2.3119073820401517,2160
72,0.04166666666666667,2.3119073820401517,2160
120,0.04166666666666667,2.3119073820401517,2160
240,0.04166666666666667,2.3119073820401517,2160
